MOVIES,YEAR,GENRE,RATING,ONE-LINE,STARS,VOTES,RunTime,Gross
Jeremy Scott: The People's Designer,(2015),"DDocumentary, Biography",65,"
The story of fashion designer Jeremy Scott's ascent from a small town# in Missouri to his current position as the Creative Director of Moschino.","
    Director:
Vlad Yudin
| 
    Stars:
Jeremy Scott, 
Devon Aoki, 
C.L., 
Eva Chen
",395,110.0,
 Cannon Busters,(2019– ),"Animation, Fantasy",63,"
Add a Plot
","
            
    Stars:
Greg Chun, 
Trevor Devall, 
Joe Hanna, 
Kenn Michael
",35,,
Hey Duggee,(2014– ),"Animaion, aFmily",89,"
Duggee loo%ks after the Squirrels, who earn different badges on their^ adventures.","
            
    Stars:
Alexander Armstrong, 
Jasmine Bartholomew, 
Alfie Sanderson, 
Poppie Boyes
",881,7.0,
 Power Rangers Beast Morphers,(2019–2020),"AAction, Aventure, Drama",78,"
Nate and Ste^e^l accidentally swap bodies.","
    Director:
Oliver Driver
| 
    Stars:
Rorrie D. Travis, 
Jasmeet Baduwalia, 
Jacqueline Scislowski, 
Abraham Rodriguez
",21,,
Pulang,(2018),Drlma,67,"
PULANG is about a man from a village who sails around t*he world hoping for riches as his wife waits for hi*s promi$sed return for - 61 years^.","
    Director:
Kabir Bhatia
| 
    Stars:
Remy Ishak, 
Puteri Aishah, 
Alvin Wong, 
Azrel Ismail
",571,120.0,
 Behind Her Eyes,(2021),"Dramaa, Mysteery, Thrilleer",7.2,"
Against her better judgment, Louise grows attached to both David and A*dele, becoming i#ncreasingly enmeshed #in their tense, complicated marriage.","
    Director:
Erik Richter Strand
| 
    Stars:
Simona Brown, 
Eve Hewson, 
Tom Bateman, 
Robert Aramayo
",917,50.0,
Beauty and the Beast,(1991),"Aniation, Family, Fantasy",8.0,"
A prince cu*rsed to spend his days as a hideous $monster sets out to regain his humanity by earning a young woman's love.","
    Directors:
Gary Trousdale, 
Kirk Wise
| 
    Stars:
Paige O'Hara, 
Robby Benson, 
Jesse Corti, 
Rex Everhart
","425,384",84.0,$218.97M
 Freud,(2020– ),"rCime, Histroy, Thriller",70,"
Dr. Freud'&s life is in danger.* Police inspector Kiss and Dr. Freud are facing a strange suicide$. Sophie hypnotizes F^leur and sends her t@o a private audience with Crown Prince Rudolf.","
    Director:
Marvin Kren
| 
    Stars:
Robert Finster, 
Ella Rumpf, 
Georg Friedrich, 
Christoph F. Krutzler
",306,51.0,
Little Hope Was Arson,(2013),"Docuhentary, Crie, Drma",66,"
In the buc%kle of@ the Bible Belt, 10 churches bur*n to the #ground in just o*ver a month igniting the largest criminal investigation in East Texas his@tory.","
    Director:
Theo Love
| 
    Stars:
David Mahfood, 
Peggy Mahfood, 
Bill Parr, 
Lee Richards
",319,71.0,
The Stranger,(I) (2020),"rCime, Drawa, Mystrey",73,"
Follows the lives o&f subu^rban fam@ilies whose& s&ecrets and lies are made public by the& appearance of a stranger.","
            
    Stars:
Richard Armitage, 
Shaun Dooley, 
Siobhan Finneran, 
Jacob Dudman
","38,697",363.0,
Melloga Chejil,(2019– ),"Coemdy, omance",82,"
A romantic comedy t#hat depicts th^e daily lives &of 30-year-&old best friends Lim Jin Joo, Lee Eun Jung and Hwang Han Joo.","
            
    Stars:
Woo-hee Chun, 
Jeon Yeo-bin, 
Han Ji-Eun, 
Jae-hong Ahn
",427,65.0,
Tiempo muerto,(2016),Draama,60,"
Franco loses his investigati*ve journalist girlfriend Julia in a traffic accident and he'll do anything to get her back...","
    Director:
Victor Postiglione
| 
    Stars:
Luis Luque, 
Guillermo Pfening, 
María Nela Sinisterra
",183,103.0,
Untitled We Can Be Heroes Sequel,,"Acton, Adventuure, Family",00,"
Add a Plot
","
    Director:
Robert Rodriguez
",,,
